"source_row","altered_gravity","astronaut_selection","bisphosphonates","bone_fracture_risk","bone_remodeling","co2_risk","crew_health_and_performance_system","distance_from_earth","food_and_nutrition_risk","hostile_closed_environment","hsia_risk","humidity","hydration","individual_factors","k_plus_citrate","medical_prevention_capability","medical_treatment_capability","microbiome","microhost_risk","mineralized_renal_material","nutrients","pharm_risk","resistive_exercise","thiazides","urine_chemistry","urine_concentration","vehicle_design","water_intake"
1942,-0.0030408687889576,-0.0228127870504977,-0.000233922459301539,-0.00467344076605514,-0.000843653891934082,0,0.00232311620493419,0,0,0,0,-0.000804025497927796,-0.0369588208959613,-0.34266459216451,0.00102592268376611,0,0.0103222675061261,-0.00185320525997668,0.00229544454487041,-0.105096164967108,0.0150454146933043,0,0.0118862146628089,0.00958841391548049,-0.0565823409669974,0.0164640317161684,0.000925738575460855,0
4911,-0.0030408687889576,-0.0228127863447298,0.000139667026815005,0.00787791740731336,-0.00210893306575599,0,-0.000185421667993069,0,0,0,0,0.000804025330580771,0.00744494534228579,-0.169163840229885,-0.00126665932475589,0,0.0145209400689055,0.00077545091335196,-0.00593622456290177,-0.16823210725488,-0.000869705407239962,0,0.0118862146628089,0.0105005899458774,0.22332515277958,0.0217145017159055,0.000925738349906169,0
3564,-0.0030408687889576,-0.0229322888117167,0.0232531722540443,-0.00467344152275473,0.00747147755828337,0,0.00232311620493419,0,0,0,0,0.00091122870799154,0.00264064514340134,-0.232033753341966,0.00102592268376611,0,0.0103222676298174,0.000775450927903876,-0.00510743630729849,0.0871153383413912,0.0365113940824813,0,0.0118862146628089,-0.00775028341740835,-0.0183075820132217,0.00823934916843427,0.000925738553632982,0
2274,0.00385404177359305,0.0114130892616231,-0.000176975252543343,-0.00394885714922566,0.00770400767214596,0,0.00023177670664154,0,0,0,0,0.000804025330580771,-0.000761424395022914,-0.0137678258652159,-0.0060420322988648,0,-0.012323823531915,0.00163305872411001,0.0026007888627646,-0.378297516530438,-0.00333985164252226,0,-0.0084585233926191,-0.0300916588603286,-0.0330866666990914,-0.0270325271048932,-0.00153064068581443,0
5349,-0.0030408687889576,-0.022907688835403,-0.000176975165231852,-0.00394885714922566,0.0129311010241508,0,-0.000185421667993069,0,0,0,0,-0.000879067862115335,-0.000328926042129751,-0.0144322147498315,0.00935541460057721,0,0.0145209400579915,0.000624475404038094,0.0026007890519395,0.0764919905996067,-0.00333985284669325,0,0.00760646699927747,-0.0300916589185363,0.197639714504476,-0.0234647503821179,0.000925738389923936,0
3299,-0.0030408687889576,0.0114130896618008,0.00585253748795367,-0.00314071860339027,0.0476418336038478,0,0.00023177670664154,0,0,0,0,-0.000879069742950378,0.0315303334027703,0.410637537297589,0.00935541459330125,0,0.0145209395523125,0.00458067392537487,0.00260078680730658,1.20336123999368,0.0187550394148275,0,0.00290922940621385,-0.0576326385962602,0.0986657866633323,-0.0237883401714498,0.00471554851537803,0
3222,-0.00281003204872832,0.0116227066610008,8.27198018669151e-05,-0.00314071860339027,-0.00388156004191842,0,-0.000185421667993069,0,0,0,0,-0.000804025588877266,-0.045106361481885,0.336250623320666,0.00678446068195626,0,0.0145209469374095,-0.0129323044020566,-0.00593622067390243,0.0831151343227248,-0.0156456926779356,0,0.00290922934073023,0.0557391470501898,0.122087688447209,-0.12538905620022,0.00471554729665513,0
8941,-0.0030408687889576,0.0115556692981045,8.27197218313813e-05,-0.00314071858883835,0.000612417126831133,0,0.00023177670664154,0,0,0,0,0.000804025330580771,0.00816993931948673,0.266623928557237,-0.00604203316470375,0,0.0145209479887853,0.000915732645808021,0.00260078900464578,-0.242218897750718,0.0145985446979466,0,0.00290922958083684,0.0554238706681645,-0.0189579110265186,0.0279000240770984,-0.00153064069309039,0
4890,-0.0030408687889576,0.0115556689270306,-0.000176975187059725,-0.00314071883622091,-0.00520106026669964,0,-0.000185421667993069,0,0,0,0,-0.00080402664389112,-0.00185874245653395,0.347997648106684,-0.00604203274997417,0,0.0145209476286254,0.00458067606086843,0.00260078598148539,-0.376078092842363,0.00445475211745361,0,0.00290923038119217,-0.0580974563054042,-0.131544476796989,0.025866146927001,-0.00658372237012372,0
713,-0.0030408687889576,0.0114130901711178,0.000139667099574581,-0.00467344147909898,0.00477784820395755,0,0.00023177670664154,0,0,0,0,0.000804025330580771,0.00700955010688631,-0.132227901151055,0.00102592268376611,0,0.014520939977956,0.000775452193920501,-0.00593622502856306,-0.391446286648716,-0.00494046015592176,0,-0.0132601916047861,-0.0118451287562493,-0.0238432002952322,-0.0255234339565504,-0.00153064074038411,0
